listing_id,id,date,reviewer_id,reviewer_name,comments,rev_len,n_words,lang,sent_label,sent_score
42587306,860153187358612028,2023-04-01,217282044,Joshua,fantastic,9,1,en,POSITIVE,0.9998743534088136
597087942704646402,937672548889920909,2023-07-17,172215140,Caroline,ugurs place was exactly what we needed for our group of 4 the apartment was easily accessible from everywhere in the city we were exploring with comfortable beds waiting for us when we got home each night ugur is very responsive and friendly,241,43,en,POSITIVE,0.999707043170929
3625870,926838660376097417,2023-07-02,20325305,Mike,another great stay at this fantastic place joaquin went above and beyond to make sure i was comfortable,103,18,en,POSITIVE,0.9998273253440856
17464151,839114876924688913,2023-03-03,404625675,Groucho,if erics place is available for your stay in manhattan grab it the apartment is perfect for one or two people the location is superb on riverside drive on the upper west side there is a magnificent view of the hudson river from the bedroom all the amenities that one would need for a comfortable stay are provided by the host including a washerdryer and a dishwasherbrthe location is very convenient to all public transportation it is 2 blocks away from the 96th st subway and the m104 bus line it is a hop skip and jump away from the m5 bus on riverside drivebrall in all i cannot recommend erics place highly enough,617,114,en,POSITIVE,0.9983914494514464
650125021376712889,895356844166108850,2023-05-20,390256115,Laura,super messy didnt even clean before we got there had to cancel my reservation because i did not feel comfortable staying there with my baby and husband ,152,28,en,NEGATIVE,0.999704658985138
5309959,922483673482812453,2023-06-26,265111246,Rogelio,herman was a hospitable host i enjoyed his stories cookies and tea he is always there when you need him highly recommebd the place,130,24,en,POSITIVE,0.9995673298835754
52799338,927610127857514685,2023-07-03,325516245,Valentina,this was incredible lesvia always was really attentive the place was clean and perfect for us i fully recommend this place for your stay i loved it,147,27,en,POSITIVE,0.9998804330825806
4668244,891335698132555557,2023-05-14,73741529,Robert,stacey the host was fantastic helpful in getting around the space was wonderful and i loved the neighborhood great restaurants cafes bars,137,22,en,POSITIVE,0.9998403787612916
44938771,871747113511411678,2023-04-17,174265966,Mariana,marco was an incredible host super friendly and responsive if we needed anything he was ready to help out no matter what thanks marco,133,24,en,POSITIVE,0.999675750732422
626711320545522978,801457569523565918,2023-01-10,429213917,Edith,thank you so much the best place that we have stayed the subway station was 5 minutes away and many shops are near by so you will never go hungry suri is one amazing host her communication skills are amazing any question we asked she answered or directed us on where to get the answer also gave us a laundry card to use which was very helpful as we were new york for some time i cant put to words how amazing the place is and how amazing suri is as a host i would definitely would recommend if you are going to new york and i would definitely stay again ,554,112,en,POSITIVE,0.999659299850464
